date,category,subcategory,amount,type,is_recurring,description
2023-01-11,Shopping,Personal Care,121.07,expense,False,Personal Care - Jan 2023
2023-01-11,Housing,Utilities,182.85,expense,False,Utilities - Jan 2023
2023-01-12,Shopping,Clothing,315.43,expense,False,Clothing - Jan 2023
2023-01-12,Income,Salary,6452.41,income,True,Monthly Salary - Jan 2023
2023-01-13,Miscellaneous,Gifts,222.02,expense,False,Gifts - Jan 2023
2023-01-13,Transport,Car Insurance,315.92,expense,True,Car Insurance - Jan 2023
2023-01-13,Savings,Investments,239.27,expense,True,Investments - Jan 2023
2023-01-14,Housing,Mortgage,173.02,expense,True,Mortgage - Jan 2023
2023-01-15,Savings,Investments,170.29,expense,True,Investments - Jan 2023
2023-01-17,Travel,Hotels,88.27,expense,False,Hotels - Jan 2023
2023-01-17,Savings,Investments,389.61,expense,True,Investments - Jan 2023
2023-01-17,Housing,Maintenance,783.43,expense,False,Maintenance - Jan 2023
2023-01-18,Food,Groceries,250.6,expense,False,Groceries - Jan 2023
2023-01-20,Housing,Mortgage,937.51,expense,True,Mortgage - Jan 2023
2023-01-21,Housing,Maintenance,253.35,expense,False,Maintenance - Jan 2023
2023-01-24,Entertainment,Streaming,54.21,expense,True,Streaming - Jan 2023
2023-01-24,Food,Coffee,205.01,expense,False,Coffee - Jan 2023
2023-01-25,Miscellaneous,Charity,49.76,expense,False,Charity - Jan 2023
2023-01-25,Housing,Maintenance,386.84,expense,False,Maintenance - Jan 2023
2023-01-25,Housing,Mortgage,414.73,expense,True,Mortgage - Jan 2023
2023-01-26,Travel,Flights,49.09,expense,False,Flights - Jan 2023
2023-01-26,Housing,Mortgage,163.52,expense,True,Mortgage - Jan 2023
2023-01-26,Transport,Public Transit,191.06,expense,False,Public Transit - Jan 2023
2023-01-28,Healthcare,Doctor,87.51,expense,False,Doctor - Jan 2023
2023-01-31,Savings,Retirement,110.26,expense,False,Retirement - Jan 2023
2023-01-31,Entertainment,Games,88.83,expense,False,Games - Jan 2023
2023-02-01,Education,Courses,131.5,expense,False,Courses - Feb 2023
2023-02-01,Shopping,Electronics,135.95,expense,False,Electronics - Feb 2023
2023-02-02,Housing,Rent,407.23,expense,True,Rent - Feb 2023
2023-02-02,Food,Groceries,317.42,expense,False,Groceries - Feb 2023
2023-02-03,Housing,Rent,567.23,expense,True,Rent - Feb 2023
2023-02-03,Housing,Rent,408.05,expense,True,Rent - Feb 2023
2023-02-03,Food,Restaurants,333.83,expense,False,Restaurants - Feb 2023
2023-02-04,Food,Coffee,231.69,expense,False,Coffee - Feb 2023
2023-02-04,Travel,Flights,167.71,expense,False,Flights - Feb 2023
2023-02-05,Healthcare,Insurance,39.54,expense,False,Insurance - Feb 2023
2023-02-05,Housing,Mortgage,681.82,expense,True,Mortgage - Feb 2023
2023-02-07,Food,Groceries,279.93,expense,False,Groceries - Feb 2023
2023-02-07,Food,Groceries,217.25,expense,False,Groceries - Feb 2023
2023-02-10,Transport,Parking,233.31,expense,False,Parking - Feb 2023
2023-02-10,Savings,Retirement,73.3,expense,False,Retirement - Feb 2023
2023-02-11,Housing,Mortgage,394.45,expense,True,Mortgage - Feb 2023
2023-02-11,Income,Salary,6802.29,income,True,Monthly Salary - Feb 2023
2023-02-11,Shopping,Clothing,157.3,expense,False,Clothing - Feb 2023
2023-02-12,Healthcare,Pharmacy,113.38,expense,False,Pharmacy - Feb 2023
2023-02-12,Housing,Rent,426.21,expense,True,Rent - Feb 2023
2023-02-13,Entertainment,Movies,90.23,expense,False,Movies - Feb 2023
2023-02-13,Transport,Uber/Lyft,153.09,expense,False,Uber/Lyft - Feb 2023
